Suppressed Feature,FRU,FRU Normalized
race,2.850335424477399,0.15973038108118362
age,2.4434500794457583,0.1369288712447864
priors_count,2.3457482776279575,0.13145374508852467
days_b_screening_arrest,2.2722529596602743,0.12733512976843012
c_charge_degree,1.9742720336052866,0.11063653125790082
sex,1.7087987871285477,0.09575963555557725
decile_score,1.6895407305388146,0.09468043038851341
length_of_stay,1.678836244440751,0.09408056006130959
score_text,0.8814322395771967,0.04939471555377399
